"OutputID","CalcUsing","DocID","StockID","Qty","SellingQty","ActualQty","Ratio","ContainerID","IsPrimaryOutput","Step","Status","ByProductOfID","ToolID","StockIDTrail","QtyPer"
"17727","Qty","12541","3197","200.0","200.0","200.0","1.0","4","1","","","","","",""
"17728","Qty","12543","3067","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17729","Qty","12544","3067","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17730","Qty","12545","3377","15.0","15.0","15.0","1.0","4","1","","","","","",""
"17731","Qty","12546","3377","15.0","15.0","15.0","1.0","4","1","","","","","",""
"17732","Qty","12547","3377","15.0","15.0","15.0","1.0","4","1","","","","","",""
"17733","Qty","12548","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17734","Qty","12549","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17735","Qty","12550","3378","15.0","15.0","15.0","1.0","4","1","","","","","",""
"17736","Qty","12551","3378","15.0","15.0","15.0","1.0","4","1","","","","","",""
"17737","Qty","12552","3378","15.0","15.0","15.0","1.0","4","1","","","","","",""
"17738","Qty","12553","3378","15.0","15.0","15.0","1.0","4","1","","","","","",""
"17739","Qty","12554","3113","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17740","Qty","12555","3113","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17741","Qty","12556","3113","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17742","Qty","12557","3113","25.0","25.0","25.0","1.0","4","1","","","","","",""
