"EntityGroupID","EntityID","GroupID"
"81664","68732","6684"
"81685","73995","6364"
"81694","67068","6684"
"81719","69583","6637"
"81770","69184","6674"
"81771","69185","6675"
"81772","69187","6675"
"81773","69188","6675"
"81788","72238","6637"
"81828","73919","6674"
"81829","69691","6370"
"81834","70628","6716"
"81844","72071","6674"
"81854","69324","6637"
"81862","69603","6674"
"81893","67986","6370"
"81894","67986","6674"
"81912","74476","6674"
"81914","69535","6637"
"81924","67737","6674"
"81976","67879","6674"
"81979","74044","6674"
"82017","67264","6674"
"82020","73010","6370"
"82038","67825","6691"
"82089","74470","6674"
"82096","67608","6370"
"82097","67608","6674"
"82191","74471","6684"
"82192","70845","6674"
"82284","70276","6364"
"82423","71231","6364"
"82558","69207","6675"
"82559","69207","6716"
"82620","68188","6364"
"82621","68188","6370"
"82622","68188","6716"
"82784","74084","6364"
"82817","67139","6364"
"82818","67139","6684"
"82819","67139","6716"
"82826","74098","6684"
"82828","73227","6637"
"82829","73227","6716"
"82844","70466","6716"
"82857","73982","6364"
"82858","73982","6716"
"82881","67433","6674"
"82882","67433","6716"
"82901","67743","6364"
"82902","67743","6674"
"82903","67743","6716"
"82939","72343","6364"
"82940","72343","6370"
"82941","72343","6716"
"82972","74524","6716"
"83050","74221","6716"
"83056","69588","6637"
"83057","69588","6716"
"83157","67551","6364"
"83158","67551","6674"
"83169","74528","6364"
"83262","74447","6674"
"83281","67257","6691"
"83291","73993","6364"
"83308","69134","6674"
"83325","69340","6637"
"83397","68302","6691"
"83504","72214","6637"
"83505","72214","6674"
"83538","70499","6681"
"83539","70499","6683"
"83602","68894","6370"
"83612","67730","6364"
"83613","67730","6674"
"83660","67574","6716"
"83725","70478","6370"
"83754","67683","6364"
"83755","67683","6674"
"83779","74533","6674"
"83784","69123","6637"
"83785","72158","6637"
"83808","67567","6364"
"83809","67567","6674"
"83813","74201","6674"
"83930","69641","6637"
"83984","69366","6637"
"84236","72059","6716"
"84292","69552","6637"
"84293","69552","6674"
"84294","68574","6674"
"84309","67033","6674"
"84333","74566","6637"
"84340","67194","6691"
"84391","67772","6674"
"84406","69863","6637"
"84463","68446","6675"
"84464","68446","6716"
"84541","67292","6637"
"84542","67292","6674"
"84576","68631","6684"
"84611","73955","6364"
"84612","73955","6370"
"84613","73955","6674"
"84614","73955","6716"
"84669","74558","6364"
"84670","74366","6364"
"84671","74366","6684"
"84687","67041","6681"
"84700","74592","6689"
"84704","72962","6674"
"84709","74593","6689"
"84723","67075","6691"
"84777","67348","6674"
"84789","67481","6674"
"84804","69611","6370"
"84805","69611","6674"
"84838","71122","6370"
"84843","74316","6364"
"84874","69267","6364"
"84881","67921","6364"
"84882","67921","6674"
"84930","68010","6689"
"84960","67214","6691"
"84989","69483","6689"
"85018","70371","6364"
"85027","70241","6370"
"85037","74567","6370"
"85069","70739","6364"
"85107","68081","6689"
"85122","70612","6364"
"85125","74604","6364"
"85145","67254","6674"
"85214","74562","6684"
"85215","67571","6637"
"85216","67571","6684"
"85222","74565","6674"
"85232","72114","6370"
"85240","70442","6364"
"85241","70442","6370"
"85267","70413","6370"
"85279","68382","6691"
"85295","69275","6637"
"85316","74261","6674"
"85324","70609","6364"
"85325","70609","6716"
"85384","67384","6674"
"85385","73011","6370"
"85386","74140","6364"
"85389","74147","6370"
"85390","74148","6370"
"85391","74149","6370"
"85392","74150","6370"
"85393","74151","6370"
"85395","74301","6691"
"85477","74601","6364"
"85488","67076","6637"
"85489","67076","6684"
"85515","69292","6364"
"85565","74575","6684"
"85568","71420","6674"
"85571","74237","6674"
"85574","74555","6637"
"85575","74555","6674"
"85589","74630","6684"
"85619","74632","6681"
"85621","74603","6674"
"85664","74230","6674"
"85704","74638","6364"
"85735","71567","6364"
"85768","69160","6691"
"85779","69149","6637"
"85780","69149","6674"
"85789","69412","6684"
"85795","67189","6691"
"85813","74450","6370"
"85842","74204","6674"
"85848","71458","6370"
"85862","69528","6637"
"85863","69528","6674"
"85864","69528","6716"
"85868","69202","6364"
"85878","70708","6370"
"85881","69193","6364"
