"AppointmentID","EntityID","EntityContactID","Date","EndDate","IsAllDayAppt","Subject","Notes","RemindBeforeMins","CreateUserID","ForUserID","Dismissed","IsConfirmed","IsNewClient","DoReminder","CalColour","userid","EntryID","DateSyncd","ReccurenceType","ReccurenceInterval","ReccurenceEnd","Client","NewComp","JobType","JobTask","newSale","ClientRelID","Held","NotHeld","Actions","Overtime","ProjectID","Location","RecurringActionID","NeedInvoice","Cancelled","SentCancellation","Reason","ExternalEmail","Synced","signoff","LeadID","IsLeadAppt","AssessmentID","ModuleID","TaskTypeID","OutlookEntryID","GoogleEntryID","Signature","ActualStartDate","ActualEndDate","SignOffDate","OrderID"
"2516","","0","2014-10-09 09:30:00","2014-10-09 09:30:00","0","","","15","378","378","0","","","0","15724527","378","","2014-10-09 09:25:38","","","","0","0","","","0","","0","0","","0","","","","0","0","0","","","0","0","","0","","","","","","","2014-10-09 09:30:00","2014-10-09 09:30:00","",""
"2517","","0","2014-10-09 09:30:00","2014-10-09 09:30:00","0","","","15","378","378","0","","","0","15724527","378","","2014-10-09 09:27:14","","","","0","0","","","0","","0","0","","0","","","","0","0","0","","","0","0","","0","","","","","","","2014-10-09 09:30:00","2014-10-09 09:30:00","",""
"2518","","93445","","","0","","","","","","","","","0","","","","","","","","0","0","","","0","","0","0","","0","","","","0","0","0","","","0","0","","0","","","","","","","","","",""
"2519","67835","0","2014-10-09 12:00:00","2014-10-09 12:00:00","0","","","15","378","378","0","","","0","15724527","378","","2014-12-11 14:33:57","","","","0","0","","","0","","0","0","","0","","015 Summerglade Close , Lonehill, Gauteng, South Africa, 0","","0","0","0","","","0","0","","0","","","","","","","2014-10-09 12:00:00","2014-10-09 12:00:00","",""
"2520","67651","0","2014-10-01 10:30:00","2014-10-01 11:30:00","0","Alarm System - FTT","ftt","15","1","1","0","","","0","15724527","1","","2014-10-09 13:40:57","","","","0","0","","","0","6303","0","0","ftt

replaced transmitter. tesaoej'pokfv'pokefvgpoaekg'poakg'paeokfg'peoafkgpaEOFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFfted & working","0","","030 Buchner Crescent, Lonehill, Gauteng, South Africa, 0","","0","0","0","","","0","0","","0","","","","00000000C9F6A116DDBDC2459292E5609343E2F244FA2800","","","2014-10-01 10:30:00","2014-10-01 11:30:00","",""
"2521","","99114","","","0","","","","","","","","","0","","","","","","","","0","0","","","0","","0","0","","0","","","","0","0","0","","","0","0","","0","","","","","","","","","",""
"2527","67651","0","2014-10-10 09:00:00","2014-10-10 10:00:00","0","Alarm system","FTT","15","372","372","0","","","0","15724527","372","","2014-10-10 15:46:13","","","","0","0","","","0","6303","0","0","","0","","030 Buchner Crescent, Lonehill, Gauteng, South Africa, 0","","0","0","0","","","0","0","","0","","","","","","","2014-10-10 09:00:00","2014-10-10 10:00:00","",""
"2528","","","2014-10-10 14:00:00","2014-10-10 14:00:00","","","","","372","372","","","","","","","","","","","","0","0","","","0","","0","0","","0","","","","0","0","0","","","0","0","","0","","","","","","","","","",""
"2529","67494","0","2014-10-10 16:00:00","2014-10-10 17:00:00","0","Alarm","Quote for new alarm","15","372","372","0","","","0","15724527","372","","2014-10-10 15:47:29","","","","0","0","","","0","6303","0","0","","0","","","","0","0","0","","","0","0","","0","","","","","","","2014-10-10 16:00:00","2014-10-10 17:00:00","",""
"2530","69078","0","2014-10-10 13:00:00","2014-10-10 14:00:00","0","Quote","Quote for new alarm system","15","372","372","0","","","0","15724527","372","","2014-10-10 15:48:45","","","","0","0","","","0","","0","0","","0","","","","0","0","0","","","0","0","","0","","","","","","","2014-10-10 13:00:00","2014-10-10 14:00:00","",""
"2531","67651","0","2014-10-15 08:00:00","2014-10-15 09:00:00","0","Alarm ","Alarm system sending false signals -check and test.","15","372","372","0","","","0","15724527","372","","2014-10-15 10:37:21","","","","0","0","","","0","6303","0","0","","0","","030 Buchner Crescent, Lonehill, Gauteng, South Africa, 0","","0","0","0","","","0","0","","0","","","","","","","2014-10-15 08:00:00","2014-10-15 09:00:00","",""
"2532","66979","0","2014-10-15 10:00:00","2014-10-15 11:00:00","0","Technical","Panics still not working.,","15","372","372","0","","","0","15724527","372","","2014-10-15 10:38:19","","","","0","0","","","0","","0","0","","0","","","","0","0","0","","","0","0","","0","","","","","","","2014-10-15 10:00:00","2014-10-15 11:00:00","",""
"2533","","0","2014-10-15 11:30:00","2014-10-15 12:30:00","0","alarm","Service request - fence and alarm sending false signals.","15","372","372","0","","","0","15724527","372","","2014-10-15 10:39:17","","","","0","0","","","0","6303","0","0","","0","","","","0","0","0","","","0","0","","0","","","","","","","2014-10-15 11:30:00","2014-10-15 12:30:00","",""
"2535","0","0","2018-05-24 13:00:00","2018-05-24 13:05:00","0","Reminder - Karen - renew ENV - 24 May 2019","","15","378","378","0","","","255","15724527","378","","2018-05-24 12:40:19","","","","0","0","","","0","","0","0","","0","","","","0","0","0","","","0","0","","0","","","","","","","2018-05-24 13:00:00","2018-05-24 13:05:00","",""
